2.0423,6.0964,3.6654,0.36645
2.3841,8.2493,7.8452,0.88012
0.80349,8.0624,4.5617,3.0169
2.784,0.55868,0.84372,1.0665
2.9191,3.9521,2.4334,3.9154
1.6454,6.4579,8.9085,3.489
4.8455,7.4919,8.1478,2.2773
1.4307,9.9516,4.9284,4.3921
0.55122,9.1368,5.5403,0.6141
0.82213,2.6659,0.40403,3.3008
1.1688,0.6469,7.3779,1.8115
3.178,3.8324,1.7306,0.31521
3.7237,4.6997,6.2995,4.9131
1.8366,4.8519,2.8514,2.1091
2.5709,2.4009,9.5405,2.827
0.1368,3.1021,3.2462,4.2213
4.3173,5.739,4.0933,1.3175
4.7593,8.6229,6.8253,4.7291
3.4762,1.1112,6.0504,2.5106
4.0661,6.757,1.4939,3.6787
4.2817,1.9035,9.2285,1.6587
